CASEID,ORDER,PRIEST,POSITION,PRIMARY,PAID,AREA,SPADMIN,SPCHILD,SPCOMM,SPFAMILY,SPMEDIA,SPMUSIC,SPOUT,SPCARE,SPPREACH,SPPSYCH,SPRELED,SPSPIRIT,SPTECH,SPVOLCOR,SPWORLEAD,SPWORTECH,SPYADULT,SPYOUTH,SPOTHER,GENLEAD,YEARLEAD,STFPREV,YEARSTF,MBRPREV,TIMESERV,DIFFOCC,HRCONG,SERVOTH,HROTHCNG,CHAPLAIN,CHAPUNI,CHAPHOSP,CHAPNURS,CHAPJAIL,CHAPPOL,CHAPOTH,HRCHAP,OTHERJOB,HROTHJOB,HRTOTAL,PREACH,CLASS,VISIT,COUNSEL,COTHCONG,CDEN,COTHDEN,CNONPRFT,CPUBSCHL,CPRVSCHL,CCOLLEGE,CSEM,CBIZ,CHOSP,CGOV,CADVOC,WORKSAT,LVCNGWRK,LVRELWRK,GOD,DOUBT,POSTLIFE,HEAVEN,HELL,MIRAHEAL,PROSPER,REINCAR,ASTROL,RESURECT,ADAMEVE,BIBLE,GRACE,PRAYSOLO,ALLTRUE,MINEBEST,CONVERT,NOFRIEND,LDRWOMEN,ORIENT,GAYMARRY,MIHELP,MIHELP2,MIPSYCH,MISERM,MIPRAY,MICLASS,MILEARN,SERIOUS,CHEM,GENES,TRAUMA,DEMON,NOSUPP,NOFAITH,STRESS,SEEKHELP,TAKEMEDS,RELIGACT,DISASTRO,DISCLIMA,DISENVIR,DISEVOLU,DISPSYCH,DISPOLLS,DISSTEM,DISVAX,DISMED,DISOTH,SIXDAYS,YNGEARTH,CREMIRAC,EVOLVED,GODEVOLV,LAWEVOLV,EVNOGOD,CLIMCHNG,SCICONFL,SCIRELIG,RELICHNG,SCIHOSTL,RESCHAR,RESFORGV,RESHMBL,RESGRAT,RESGENER,RESCNTL,RESPRAY,RESDISC,VSTDYING,VSTOFTN,ALLOWDIE,EUTHA,HOPEMIRA,PALIATIVE,PARTYID7,POLVIEWS,POLGROUP,TOOKSTND,PRAYISSUE,URGEVOTE,URGEACT,LOBBIED,PROTEST,ACTABORT,ACTCAPUN,ACTECON,ACTEDUC,ACTENVIR,ACTFORGN,ACTLGBT,ACTGUN,ACTHEAL,ACTHUNGR,ACTIMM,ACTPOLIC,ACTRACE,ACTOTH,ENDORSE,TAXENDRS,POLCOMP,VOTE,VOTEWHO,INFOBOOK,INFOZINE,INFOWEB,INFOPOD,INFOSOC,GENDER,RACE,YEARBORN,WHEREBRN,EDUC,ATSEM,MARSTAT,ROMRELAT,NUMKID,HEALTH,CAREDFOR,LACKINT,DEPRESS,HAPPY,SATLIFE,LIFEGOOD,BMI,BMICAT,CONGSAL,CONGLIVE,OTHINC,OTHAMT,HHINCOME,STULOAN,LOANAMT,FINSATIS,CHALWELL,CHALTECH,CHALRACE,CHALLGBT,CHALLEAD,CHALGEN,CHALCASH,CHALFEM,CHALFACIL,CHALDENOM,CHALCOMIT,CHALOTH,cong_region,cong_size,cong_trad,cong_race,DURATION,SURVEYDATE,SURVEYYEAR,COVID,MODE_NSRL,WT_NSRL_ALL_IGN,WT_NSRL_ALL_DUP,WT_NSRL_ALL_ATTENDEE,WT_NSRL_PRIMARY_IGN,WT_NSRL_PRIMARY_DUP,WT_NSRL_PRIMARY_ATTENDEE,WT_NSRL_NONP_IGN,WT_NSRL_NONP_DUP,WT_NSRL_NONP_ATTENDEE
11, , ,5,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1, ,0, , ,5,2,10,2,40,2, ,2, , , , , , , ,2, ,40,3,2,2,4,1,1,2,2,1,2,2,1,2,2,2,1,3,1,2,2,2,5,4,1,4,1,2,1,5,1,3,4,6,1,6,3,1,7,7,5,1,3,4,2,1,1,2,4,4,3,3,1,2,1,2,4,4,3,1,3,3,2,3,1,1,2,3, ,2,1,2,5,5,3,2,1,1,4,4,5,3,1,2,1,1,2,1,1,1,5,7,6,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,1,1,2,1, ,2,1,4,1,1,2,1,3,3,4,1,1,6,1,3,1,2, ,0,2,5,1,2,5,5,5,33.4695496925213,4,6,2,2,0,7,2,0,2,1,0,1,0,0,0,0,0,0,0,1,0,2,5,4,1, ,6/6/2019,2019,2,3,.129076518372921,.0837278418142808,.574319641132527,0,0,0,.132451160287986,.08368511894423,.351891029720489
12, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,3,2, ,2,32,1,45,2, ,2, , , , , , , ,2, ,45,7,5,5,5,2,2,2,1,1,1,2,1,2,1,2,2,4,2,2,1,2,5,5,3,5,1,1,1,5,3,3,5,5,2,4,5,1,7,7,5,1,2,4,2,4,1,3,4,3,3,3,1,2,1,3,4,4,4,1,1,1,1,4,4,1,1,3, ,2,2,2,4,4,3,1,1,1,2,2,5,1,1,1,1,1,1,1,1,1,3,7,5,2,3,6,3,1,1,3,3,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2, ,2,1,4,1,1,4,4,6,1,5,1,1,3,1,5, ,2, ,0,3,4,1,2,5,5,6,28.0550304557866,3,8,2,2,0,9,1,1,3,0,0,1,0,0,1,0,0,0,0,1,0,2,5,4,1,26,2/11/2019,2019,2,1,.0468901128127548,.0321208243961944,.260159528546094,.0459560354892314,.0321339115172004,.524785694302728,0,0,0
13, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,5,2, ,2,12,2,20,2, ,2, , , , , , , ,2, ,20,5,5,5,6,1,2,2,1,2,1,2,1,2,2,2,2,4,1,3,2,2,4,4,3,4,1,1,1,4,1,3,5,4,1,6,5,1,7,7,4,1,3,3,1,1,1,2,3,4,4,4,1,3,2,4,4,4,4,1,2,1,2,2,2,1,2,2, ,1,1,2,4,4,3,1,1,2,2,3,4,1,1,3,1,1,1,3,1,1,2,6,5,1,3,2,3,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1, ,2,2,4,1,1,5,5,4,2,3,2,1,6,1,5, ,2, ,2,2,5,1,1,5,5,7,22.5941230486685,2,6,2,1,4,11,2,0,2, , , , , , , , , , , , ,4,3,4,1,17.4,7/16/2019,2019,2,1,.70169922862155,.480680389733822,.519096612764479,.687720986769016,.48087623534314,1.04710551199948,0,0,0
14, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,5,2, ,2,13,2,45,2, ,2, , , , , , , ,2, ,45,7,4,5,6,1,2,2,1,2,2,2,1,2,2,2,2,4,1,1,2,2,5,5,5,4,1,1,1,5,2,3,6,4,2,5,5,1,7,6,4,2,1,2,1,2,1,1,4,4,3,4,2,2,1,4,4,4,3,2,2,3,1,1,3,1,1,1, ,1,1,3,4,4,1,1,1,2,2,4,4,3,1,3,1,1,3,3,1,1,3,7,5,1,3,2,3,1,2,3,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2, ,2,1,3,1,1,4,2,5,2,2,1,1,6,1,5, ,2, ,3,2,5,1,2,5,5,7,27.3228166438043,3,8,2,1,1,10,1,5,3,0,0,1,0,0,0,0,0,0,0,0,0,4,3,4,1,32.7,5/1/2019,2019,2,1,.70169922862155,.480680389733822,.519096612764479,.687720986769016,.48087623534314,1.04710551199948,0,0,0
15, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1, , , ,1,16,1,45,2, ,2, , , , , , , ,2, ,45,3,4,6,8,1,2,1,1,1,2,1,2,1,1,1,1,4,1,1,1,2,5,5,5,5,1,1,1,5,5,2,6,6,1,7,7,1,2,1,1,1,4,4,1,2,2,2,3,3,3,3,1,3,2,3,4,4,4,1,2,2,2,1,1,1,2,2, ,3,3,5,1,2,1,1,1,2,3,1,5,3,1,1,1,1,1,1,1,1,5,2,1,2,1,5,5,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,1,2,1, ,2,1,4,1,3,3,3,3,2,1,1,1,6,1,5, ,2, ,2,2,5,1,1,5,5,6,23.6252888048729,2,7,2,1,1,8,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,4,5,2,1,17.1,6/1/2020,2020,1,1,.0239175303572595,.0166433595380833,.784712840551885,.0234410797496311,.0166501406112442,1.58289828997874,0,0,0
16, , ,6,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0, , ,4,1,36,1,4,2, ,2, , , , , , , ,2, ,45,1,7,3,5,1,2,2,2,2,2,1,2,2,2,2,2,4,2,2,1,2,5,5,5,5,4,1,4,5,5,2,5,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,2,1,19.4,2/6/2020,2020,2,1,.107473337755037,.0693728728317622,2.28492626414259,0,0,0,.110283175167077,.0693374747112945,1.39999574860263
17, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,5,2, ,2,22,2,57,2, ,2, , , , , , , ,2, ,57,8,7,6,7,1,1,1,1,1,2,2,2,1,1,2,1,3,1,1,2,2,5,5,4,5,2,1,1,5,5,2,5,4,1,2,2,1,1,1,1,1,2,3,2,1,2,3,3,3,3,3,2,4,2,4,4,3,4,2,1,1,2,2,3,1,1,2, ,1,2,4,2,2,1,1,2,1,3,2,2,1,1,1,1,1,3,1,1,1,4,6,1,2,3, ,6,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1, ,2,3,2,1,3,5,2,6,5,5,1,1,4,1,5, ,2, ,1,3,5,1,1,5,5,5,36.5878378378378,4,11,2,1,1,13,1,3,2,0,0,0,1,0,0,0,0,0,1,0,0,3,4,4,1,45.2,1/13/2020,2020,2,1,.195871145860903,.134176317843451,.543374092172097,.191969282873032,.134230985858384,1.09607728696405,0,0,0
18, , ,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,1, , ,5,1,25,1,10,2, ,1,2,1,2,2,2,2,1,1,40,51,8,7,7,7,1,1,1,1,1,1,2,2,1,1,2,2,4,1,1,1,1,5,5,5,5,5,1,5,5,5,2,6,6,1,1,1,1,7,7,4,2,1,1,1,1,1,1,4,3,1,4,2,4,4,4,3,1,4,2,1,1,2,2,1,1,1,1, ,2,2,4,4,4,2,4,2,5,4,1,2,1,1,1,1,1,1,1,1,2,1,1,1,4,1,4,2,1,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2, ,2,1,4,2,5,3,4,5,1,1,1,3,4,2,4,2,2, ,0,1,5,1,1,5,5,6,27.7584940312213,3,1,2,1,7,7,1,8,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,1,49,12/2/2019,2019,2,1,.539183295600066,.349751095334593,1.19953482142669,0,0,0,.55327997694979,.349572631752201,.734966233550803
19, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,5,2, ,2,36,2,60,2, ,2, , , , , , , ,2, ,60,8,7,6,6,1,1,1,1,1,2,2,1,1,2,1,1,4,1,1,1,1,5,5,5,5,2,1,1,5,2,2,5,5,1,6,4,1,3,3,3,1,3,3,1,2,1,2,4,3,3,3,1,3,2,4,4,4,2,1,2,2,3,2,3,1,1,1, ,2,1,4,2,4,1,1,1,2,2,2,5,1,1,1,1,1,1,1,1,1,3,6,2,2,1,7,5,1,3,3,3,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,3,1,4,5,5,5,4,2,1,1,4,1,5, ,2, ,0,2,5,1,1,5,6,6,32.7800882167612,4,9,2,1,1,10,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,2,4,4,1, ,10/8/2019,2019,2,3,.0357111810343113,.0733889837009605,.371504385375864,.0349997942962671,.0734188848796586,.74938706994712,0,0,0
20, , ,4,2,1,1,2,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2, ,0, , ,5,1,0,1,40,2, ,2, , , , , , , ,2, ,40,1,8,3,8,1,1,2,2,2,2,2,2,2,2,2,2,4,2,1,1,1,5,5,1,4,1,1,1,5,2,3,6,6,5,5,3,1,7,7,5,1,2,2,1,2,3,4,3,3,3,3,1,2,1,3,4,4,3,3,3,3,3,4,2,1,3,3,3,2,1,4,4,4,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,2,1,5,5,2,4,1,1,2,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1, ,2,1,5,1,1,6,4,5,3,2,1,1,6,1,5, ,2, ,1,3,4,1,1,5,6,6,29.1560570987654,3,6,2,2,0,7,1,12,1, , , , , , , , , , , , ,2,4,4,1,28.1,4/30/2019,2019,2,1,.0983037710593896,.191299611194066,.820120894593427,0,0,0,.100873874672407,.191201998879539,.502495762681352
21, , ,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,1, , ,4,1,15,1,10,2, ,2, , , , , , , ,2, ,10,2,2,8,3,2,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,2,5,5,4,5,1,1,1,5,4,3,4,5,1,1,1,1,7,7,4,2,1,3,1,1,1,1,4,3,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1, ,2,3,4,2,5,1,1,1,3,2,3,4,2,3,3,3,1,2,1,2,1,3,6,1,3,4,7,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,1,3,1,3,2,2,2,1,1,2,1,2,1,2,2,4,2,0,2,5,1,1,5,5,6,28.662353515625,3,2,2,1, ,7,2,0,3,0,0,0,1,0,1,0,0,0,1,1,0,2,4,4,1,38.3,5/1/2019,2019,2,1,.0983037710593896,.191299611194066,.820120894593427,0,0,0,.100873874672407,.191201998879539,.502495762681352
22, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,5,2, ,2,18,1,50,2, ,2, , , , , , , ,2, ,50,6,3,7,4,1,1,2,1,2,2,1,1,2,2,2,1,4,1,1,1,2,4,4,2,3,1,1,1,4,1,3,4,5,4,2,1,1,7,7,5,1,2,2,1,3,1,2,4,3,2,3,1,3,2,4,4,4,3,2,3,2,1,2,4,1,2,3, ,1,1,1,5,4,2,2,1,1,3,3,4,1,1,2,1,1,2,1,1,1,3,7,6,1,3,1,3,2,3,3,3,2,2,1,2,2,1,1,2,2,1,2,2,1,1,2,1, ,2,2,3,1,1,5,4,4,1,1,2,1,2,1,5, ,2, ,0,2,5,1,1,5,4,5,23.4089490114464,2,9,2,1,4,12,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,3,4,1,35.7,2/11/2019,2019,2,1,.0739032838213516,.0506254785823853,.119593890432935,.0724310889936893,.0506461051315679,.241241069185334,0,0,0
